nom,numero,tag1,tag2,tag3,pieces,minifigs,Value used,Value new,Prix initial2
Snow White's Cottage,6152-1,Duplo,Disney Princess,2012,28,1,,,"Pieces,28,Minifigs,1, ,Minifigs,47394pb148, ,RRP,$14.99 | ,More,PPP,53.5c,Packaging,Box,Additional images,5,Value new,~$50.00,Value used,~$14.61"
Cinderella's Carriage,6153-1,Duplo,Disney Princess,2012,20,1,,,"Pieces,20,Minifigs,1, ,Minifigs,47394pb149, ,RRP,$24.99 | ,More,PPP,125.0c,Packaging,Box,Additional images,6,Value new,~$79.95,Value used,~$24.00"
Cinderella's Castle,6154-1,Duplo,Disney Princess,2012,77,2,,~$12.70,"Pieces,77,Minifigs,2, (1 unique to this set),Minifigs,47394pb149, ,47394pb150, ,RRP,$39.99 | ,More,PPP,51.9c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Mar 2012 - 31 Dec 2014 (2y 10m),Value new,~$125.00,Value used,~$12.70"
Bunny's Hutch,41022-1,Friends,Animals Series 2,2013,37,,66497-1,~$4.80,"Pieces,37,RRP,$4.99 | ,More,PPP,13.5c,Packaging,Foil pack,Instructions,Yes,Additional images,4,Launch/exit,1 May 2013 - 31 Aug 2013 (4m),Value new,~$6.53,Value used,~$4.80,Related sets,Included in ,66497-1, "
Photo Safari,6156-1,Duplo,Zoo,2012,67,3,,~$59.85,"Pieces,67,Minifigs,3, (1 unique to this set),Minifigs,47394pb114, ,47394pb121, ,47394pb146, ,RRP,$59.99 | ,More,PPP,89.5c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jan 2012 - 31 Dec 2014 (2y 11m 29d),Value new,~$99.19,Value used,~$59.85"
Fawn's Forest,41023-1,Friends,Animals Series 3,2013,35,,Random set of the day,~$2.26,"Pieces,35,RRP,$4.99 | ,More,PPP,14.3c,Packaging,Foil pack,Instructions,Yes,Additional images,6,Launch/exit,1 Sep 2013 - 31 Dec 2013 (3m 29d),Value new,~$5.46,Value used,~$2.26,Notes,Random set of the day, on 15 Dec 2023,Related sets,Included in ,66497-1, "
Parrot's Perch,41024-1,Friends,Animals Series 3,2013,32,,66497-1,~$3.59,"Pieces,32,RRP,$4.99 | ,More,PPP,15.6c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Sep 2013 - 31 Dec 2013 (3m 29d),Value new,~$4.93,Value used,~$3.59,Related sets,Included in ,66497-1, "
The Big Zoo,6157-1,Duplo,Zoo,2012,147,4,,~$118.74,"Pieces,147,Minifigs,4, ,Minifigs,47205pb024, ,47394pb123, ,47394pb144, ,47394pb145, ,RRP,$89.99 | ,More,PPP,61.2c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$133.74,Value used,~$118.74"
Puppy's Playhouse,41025-1,Friends,Animals Series 3,2013,39,,66497-1,~$4.22,"Pieces,39,RRP,$4.99 | ,More,PPP,12.8c,Packaging,Foil pack,Instructions,Yes,Additional images,3,Launch/exit,1 Sep 2013 - 31 Dec 2013 (3m 29d),Value new,~$6.00,Value used,~$4.22,Related sets,Included in ,66497-1, "
4x4 Crawler Exclusive Edition ,41999-1,Technic,2013,41999-1,1585,,,~$320.00,"Pieces,1585,RRP,$199.99 ,PPP,12.6c,Packaging,Box,Instructions,Yes,Additional images,6,Launch/exit,1 Aug 2013 - 31 Dec 2013 (4m 30d),Value new,~$506.69,Value used,~$320.00,Notes,Limited to 20,000 sets.,Related sets,Similar to ,9398-1, "
Animal Clinic,6158-1,Duplo,Zoo,2012,62,2,,~$43.48,"Pieces,62,Minifigs,2, ,Minifigs,47394pb143, ,47394pb144, ,RRP,$39.99 | ,More,PPP,64.5c,Packaging,Box,Instructions,Yes,Additional images,7,Launch/exit,1 Jan 2012 - 31 Dec 2013 (1y 11m 29d),Value new,~$47.64,Value used,~$43.48"
